# n_neighbors,slab_index,site_index,metal_index,energy
2,26,8,2,0.683581
1,27,0,1,1.304024
3,27,4,5,-0.362232
3,27,2,5,-0.167275
3,27,4,5,-0.356966
3,27,4,5,-0.367106
1,27,5,3,0.949238
3,27,4,5,-0.373804
1,27,7,5,0.442977
3,27,7,5,0.022837
3,28,1,5,0.339530
3,28,1,5,0.353306
2,28,2,3,0.855125
3,28,1,5,0.355735
1,28,4,4,0.699712
1,28,5,4,0.714863
3,28,6,5,0.444068
2,28,7,0,0.829674
1,28,8,4,0.749222
1,29,0,0,1.014999
3,29,3,5,-0.278214
3,29,2,0,0.480400
3,29,1,5,-0.280452
3,29,1,5,-0.285477
3,29,5,5,-0.227811
3,29,6,0,0.482607
3,29,7,5,0.117776
1,29,8,4,0.875720
2,30,0,1,1.144244
1,30,1,2,1.061207
1,30,2,2,1.093229
2,30,3,4,0.555386
1,30,4,4,0.738858
1,30,5,4,0.809836
2,30,6,1,0.990752
1,30,7,0,1.609903
1,30,8,4,0.903547
1,31,0,3,1.068427
1,31,1,3,1.043196
1,31,2,2,1.069738
1,31,3,3,1.114498
1,31,4,1,1.462789
1,31,5,1,1.432200
1,31,6,1,1.433638
2,31,7,2,0.712981
1,31,8,1,1.414508
3,32,0,2,0.178011
2,32,1,3,0.567700
3,32,2,5,0.034278
2,32,1,3,0.570142
3,32,2,5,0.485763
1,32,5,4,0.767095
3,32,6,5,0.033595
2,32,7,0,0.790511
1,32,8,2,0.905890
1,33,0,4,0.878143
1,33,1,0,1.766920
1,33,2,4,0.874736
1,33,3,4,0.943933
1,33,4,4,0.958326
1,33,5,2,1.266268
1,33,6,2,1.280128
1,33,7,1,1.576106
1,33,8,4,0.847806
1,34,0,5,0.520108
1,34,1,1,1.229794
2,34,4,5,0.457104
3,34,4,5,-0.198964
3,34,6,5,-0.394693
1,34,5,1,1.295506
3,34,6,5,-0.379376
3,34,6,5,-0.240987
1,34,8,1,1.263664
1,35,0,1,0.817766
1,35,1,4,0.942523
1,35,2,0,1.592738
1,35,3,2,1.204024
1,35,4,4,0.707552
1,35,5,4,0.845488
2,35,6,2,0.750755
1,35,7,1,1.516513
2,35,8,4,0.544388
3,36,0,2,0.234798
3,36,3,2,0.269828
1,36,2,1,1.469046
2,36,4,2,0.248607
2,36,6,2,0.276901
1,36,5,4,1.045657
3,36,6,2,0.216852
3,36,7,2,0.223952
1,36,8,4,1.006322
3,37,1,2,0.454674
3,37,1,2,0.452647
2,37,2,5,0.553513
3,37,3,5,0.174535
1,37,4,4,0.771678
1,37,5,1,1.198358
1,37,6,4,0.859945
3,37,7,0,0.459950
1,37,8,3,1.031493
1,38,0,1,1.416324
1,38,1,4,0.968145
1,38,2,1,1.357217
1,38,3,1,1.340171
1,38,4,1,1.293897
3,38,5,5,0.118644
1,38,6,2,0.938837
3,38,5,5,0.127982
1,38,8,2,0.935745
2,39,3,2,0.467535
1,39,1,4,0.895942
1,39,2,0,1.428349
3,39,3,2,0.497720
2,39,4,1,1.129973
1,39,5,0,1.333375
3,39,6,1,1.041070
2,39,7,1,0.989333
1,39,8,0,1.407066
3,40,1,2,-0.060622
1,40,1,2,0.601185
1,40,2,3,1.034707
2,40,3,3,0.779998
1,40,4,0,1.280361
1,40,5,2,0.709209
1,40,6,3,1.057991
1,40,7,5,0.458890
3,40,7,5,-0.127438
2,41,0,2,0.203180
3,41,2,2,0.159611
3,41,4,5,0.129800
2,41,4,5,0.280180
2,41,5,5,0.138716
1,41,5,5,0.659596
3,41,4,5,0.117512
2,41,5,5,0.179285
3,41,8,2,0.161891
1,42,0,0,1.498929
1,42,1,3,1.098562
2,42,2,1,1.195686
3,42,3,2,0.618216
1,42,4,1,1.409852
1,42,5,1,1.385966
1,42,6,1,1.509871
2,42,7,1,1.067411
1,42,8,4,0.882863
2,43,0,5,-0.148853
2,43,1,5,-0.210155
3,43,4,5,-0.329938
1,43,3,1,1.275582
3,43,1,5,-0.333514
3,43,8,5,-0.333981
1,43,6,4,0.847941
3,43,7,5,-0.411825
3,43,8,5,-0.326628
2,44,0,5,-0.232902
1,44,1,3,0.981098
2,44,2,5,-0.241805
1,44,3,3,0.934157
1,44,4,3,1.055517
3,44,2,5,-0.133418
3,44,6,5,-0.316870
3,44,6,5,-0.308871
3,44,8,2,0.471988
1,45,0,4,0.871479
3,45,1,0,0.841899
2,45,5,0,1.066699
2,45,3,4,0.721123
2,45,4,1,1.053990
3,45,7,0,0.819904
1,45,6,4,0.996531
2,45,8,0,0.859166
3,45,8,0,0.832506
1,46,0,0,1.212760
2,46,1,5,0.208257
3,46,1,5,0.164931
3,46,3,1,0.825734
3,46,4,0,0.618691
1,46,5,0,1.181026
1,46,6,0,1.110813
1,46,7,3,0.940593
1,46,8,0,1.185046
1,47,0,1,1.430777
1,47,1,1,1.352588
1,47,2,1,1.396218
1,47,3,1,1.264748
3,47,5,5,-0.137548
3,47,5,5,-0.055825
1,47,6,1,1.250985
2,47,5,5,-0.054232
3,47,5,5,-0.049668
1,48,0,5,1.127081
1,48,1,4,0.850976
1,48,2,1,1.475195
1,48,3,1,1.396110
1,48,4,1,1.531547
1,48,5,4,0.846267
1,48,6,4,0.780729
1,48,7,4,0.882857
1,48,8,1,1.557364
2,49,0,3,0.637858
1,49,1,2,0.845713
2,49,2,2,0.644327
2,49,3,5,0.291915
3,49,4,3,1.073533
1,49,5,4,0.769334
2,49,6,3,0.787600
2,49,6,3,0.637460
1,49,8,3,1.081433
3,50,0,5,-0.120401
3,50,4,5,-0.084819
3,50,2,5,-0.118132
3,50,3,5,-0.084100
1,50,4,5,0.558017
1,50,5,2,0.840304
3,50,6,5,-0.120355
3,50,7,5,-0.000819
3,50,8,5,0.008531
2,51,0,5,0.162311
2,51,0,5,0.167831
1,51,2,3,1.111335
2,51,3,5,0.252072
1,51,4,5,0.498140
3,51,4,5,0.289951
1,51,6,3,0.969744
3,51,7,0,0.150068
1,51,8,1,1.331406
3,52,0,3,0.291408
1,52,1,5,0.624064
3,52,4,0,0.646860
2,52,3,5,0.215289
2,52,4,0,0.665111
3,52,5,0,0.641164
1,52,6,5,0.522695
1,52,7,3,0.985662
1,52,8,3,0.974482
1,53,0,0,1.310316
1,53,1,5,0.446970
3,53,1,5,0.286788
2,53,3,0,0.744636
3,53,1,5,0.285849
2,53,5,1,0.847678
2,53,6,4,0.613304
1,53,7,1,1.301880
1,53,8,0,1.239768
3,54,3,5,-0.075317
1,54,1,1,1.295275
3,54,2,5,-0.037595
3,54,6,5,-0.205509
1,54,4,5,0.625037
3,54,5,5,-0.157563
3,54,6,5,-0.239082
1,54,7,1,1.303823
3,54,8,5,-0.197058
1,55,0,4,0.905564
1,55,1,2,1.208927
1,55,2,1,1.535270
1,55,3,1,1.512118
1,55,4,4,0.956782
1,55,5,1,1.652128
1,55,6,1,1.571708
1,55,7,4,0.915515
1,55,8,1,1.534323
1,56,0,4,0.882541
1,56,1,0,1.415002
1,56,2,4,0.932017
3,56,3,0,0.170340
1,56,4,4,0.922655
3,56,8,5,0.143006
2,56,7,0,1.022178
3,56,8,5,0.146248
2,56,8,5,0.174815
2,57,0,5,0.335559
1,57,1,4,0.842911
3,57,5,2,0.212706
1,57,3,4,0.830684
1,57,4,4,0.863433
2,57,5,2,0.331732
1,57,6,4,1.065184
2,57,7,5,0.594774
1,57,8,4,0.799546
1,58,0,4,0.893805
1,58,1,1,1.476360
1,58,2,4,0.929779
3,58,3,2,-0.154725
1,58,4,4,0.974945
3,58,8,5,-0.325603
1,58,6,4,0.889147
3,58,8,5,-0.332767
3,58,8,5,-0.333255
3,59,1,5,0.009661
2,59,1,5,0.284949
1,59,2,1,1.210613
2,59,3,0,0.654276
3,59,6,2,0.171211
3,59,5,2,0.489588
2,59,6,2,0.462492
2,59,8,0,0.757262
3,59,5,2,0.370515
3,60,0,5,0.627572
2,60,1,3,0.827233
1,60,2,3,1.120922
1,60,3,3,1.208087
1,60,4,4,0.874234
3,60,5,3,0.608182
2,60,3,3,1.237799
1,60,7,4,0.879653
1,60,8,4,0.865346
1,61,0,4,0.686239
2,61,1,2,0.725614
2,61,2,0,1.055578
3,61,3,2,0.668467
1,61,4,4,0.870368
1,61,5,2,0.994964
3,61,6,0,0.994585
1,61,7,4,0.753099
2,61,8,0,0.966499
2,62,0,2,0.627141
2,62,1,2,0.347678
3,62,1,2,0.273092
3,62,4,2,0.289351
2,62,4,2,0.421125
1,62,5,4,0.810807
1,62,6,4,0.904306
1,62,7,4,0.915293
3,62,8,2,0.406356
1,63,0,0,1.257792
2,63,1,1,1.078242
3,63,2,0,0.339453
1,63,3,3,0.966880
3,63,4,5,0.445283
1,63,5,0,1.291477
3,63,6,5,0.362216
1,63,7,3,0.971797
1,63,8,3,1.006059
1,64,0,3,1.126904
1,64,1,1,1.361029
1,64,2,1,1.291905
1,64,3,1,1.286215
2,64,5,5,0.034684
1,64,5,5,0.630766
3,64,6,3,0.895989
1,64,7,4,0.818002
2,64,8,0,0.871241
3,65,0,2,0.055515
2,65,1,2,0.532872
3,65,4,5,0.076097
2,65,3,0,0.761813
2,65,4,5,0.221108
3,65,5,2,0.040591
3,65,6,5,0.272738
1,65,7,4,0.764765
2,65,8,0,0.285564
3,66,0,5,-0.051946
1,66,1,0,1.293730
3,66,2,5,-0.322016
2,66,3,1,0.899665
1,66,4,1,1.307360
1,66,5,2,0.839656
3,66,6,5,-0.316738
3,66,7,2,-0.057240
2,66,8,1,0.969559
1,67,0,2,0.828279
1,67,1,1,1.381620
1,67,2,1,1.220538
3,67,3,1,0.782993
1,67,4,0,1.292582
1,67,5,5,0.604292
2,67,6,0,0.914791
1,67,7,4,0.974224
1,67,8,1,1.359302
3,68,1,2,0.466769
1,68,1,2,1.040467
1,68,2,2,1.030871
1,68,3,4,0.844854
1,68,4,4,0.756597
3,68,5,2,0.634448
1,68,6,4,0.828266
2,68,7,5,0.538094
1,68,8,4,0.776255
1,69,0,1,1.405695
2,69,1,2,0.727429
1,69,2,1,1.337522
1,69,3,1,1.405573
1,69,4,0,1.482689
1,69,5,1,1.406492
1,69,6,1,1.472416
1,69,7,1,1.404944
1,69,8,4,0.856292
1,70,0,1,1.183431
1,70,1,0,1.335598
1,70,2,3,0.935442
3,70,6,0,0.830471
1,70,4,3,0.939389
3,70,7,3,0.816812
1,70,6,0,1.343371
2,70,7,3,0.743629
3,70,8,0,0.822181
3,71,0,2,0.151998
1,71,1,4,0.853642
3,71,2,5,0.149398
1,71,3,4,1.193212
1,71,4,4,1.152565
1,71,5,4,1.120819
3,71,6,5,0.145902
1,71,7,4,1.031040
1,71,8,4,1.081335
2,72,3,5,0.308451
1,72,1,1,1.422733
1,72,2,4,0.903486
1,72,3,5,0.444812
1,72,4,1,1.334597
2,72,5,2,0.128531
1,72,6,4,0.945994
1,72,7,1,1.357836
1,72,8,1,1.469542
2,73,0,3,0.894500
1,73,1,3,1.071486
3,73,2,0,0.901395
1,73,3,0,1.590515
1,73,4,1,1.435540
1,73,5,4,0.864853
1,73,6,3,1.163742
3,73,7,0,0.989332
1,73,8,1,1.414384
3,74,0,2,-0.161949
1,74,1,1,1.313554
1,74,2,1,1.327090
1,74,3,1,1.312157
3,74,7,5,-0.088940
1,74,5,4,0.911772
2,74,7,5,-0.082409
