# n_neighbors,slab_index,site_index,metal_index,energy
1,22,0,3,-1.107519
1,22,1,1,-0.267051
1,22,2,0,-0.119350
1,22,3,3,-1.153679
1,22,4,3,-1.143495
1,22,5,1,-0.239760
1,22,6,1,-0.192409
1,22,7,3,-1.028385
1,22,8,1,-0.174682
1,23,0,2,-0.491817
1,23,1,2,-0.617522
1,23,2,1,-0.332293
1,23,3,1,-0.152526
1,23,4,1,-0.164224
1,23,5,1,-0.236953
1,23,6,1,-0.158393
1,23,7,5,-0.023998
1,23,8,5,-0.079306
1,24,0,0,-0.179919
1,24,1,0,-0.089191
1,24,2,2,-0.592780
1,24,3,2,-0.601480
1,24,4,5,-0.049312
1,24,5,2,-0.595330
1,24,6,2,-0.609061
1,24,7,5,-0.000308
1,24,8,5,-0.086488
1,25,0,0,-0.098049
1,25,1,1,-0.133228
1,25,2,4,-1.572421
1,25,3,4,-1.491778
1,25,4,0,-0.098412
1,25,5,1,-0.189499
1,25,6,0,-0.114609
1,25,7,1,-0.170148
1,25,8,0,-0.102477
1,26,0,1,-0.255030
1,26,1,2,-0.592256
1,26,2,5,-0.067590
1,26,3,4,-1.408565
1,26,4,5,-0.011800
1,26,5,0,-0.177133
1,26,6,4,-1.470397
1,26,7,4,-1.594914
1,26,8,2,-0.564295
1,27,0,1,-0.069958
1,27,1,0,-0.068397
1,27,2,5,0.011376
1,27,3,5,-0.125254
1,27,4,5,-0.068928
1,27,5,3,-1.048238
1,27,6,5,-0.132295
1,27,7,5,-0.066654
1,27,8,2,-0.623530
1,28,0,0,-0.136230
1,28,1,5,0.054790
1,28,2,3,-1.044708
1,28,3,0,-0.155203
1,28,4,4,-1.661052
1,28,5,4,-1.604335
1,28,6,5,0.004268
1,28,7,0,-0.154983
1,28,8,4,-1.594613
1,29,0,0,-0.242818
1,29,1,5,-0.019122
1,29,2,0,-0.170966
1,29,3,5,-0.106417
1,29,4,5,-0.053450
1,29,5,5,-0.035813
1,29,6,0,-0.208146
1,29,7,5,-0.025809
1,29,8,4,-1.431606
1,30,0,1,-0.272201
1,30,1,2,-0.483674
1,30,2,2,-0.491453
1,30,3,4,-1.491332
1,30,4,4,-1.579274
1,30,5,4,-1.541124
1,30,6,1,-0.205666
1,30,7,0,-0.114100
1,30,8,4,-1.472873
1,31,0,3,-1.096851
1,31,1,3,-1.141625
1,31,2,2,-0.498406
1,31,3,3,-1.072236
1,31,4,1,-0.206356
1,31,5,1,-0.222429
1,31,6,1,-0.217388
1,31,7,2,-0.516140
1,31,8,1,-0.244961
1,32,0,2,-0.534550
1,32,1,3,-1.261002
1,32,2,5,0.020464
1,32,3,3,-1.130299
1,32,4,3,-1.116501
1,32,5,4,-1.561259
1,32,6,5,0.007577
1,32,7,0,-0.228719
1,32,8,2,-0.593570
1,33,0,4,-1.447251
1,33,1,0,-0.077642
1,33,2,4,-1.472007
