# n_neighbors,slab_index,site_index,metal_index,energy
1,25,2,4,-0.781520
1,25,3,4,-0.676380
2,25,4,0,-0.390328
1,25,5,1,-0.158859
1,25,6,0,-0.076118
3,25,7,1,-0.452242
1,25,8,0,0.019921
2,26,0,1,-0.409060
3,26,2,5,-1.660785
2,26,2,5,-1.548611
1,26,3,4,-0.623822
3,26,2,5,-1.612814
1,26,5,0,-0.074978
1,26,6,4,-0.654516
1,26,7,4,-0.776814
2,26,8,2,-0.840846
1,27,0,1,-0.219155
1,27,1,0,-0.253447
3,27,2,5,-1.629440
3,27,4,5,-1.911638
3,27,4,5,-1.864930
1,27,5,3,-0.563146
3,27,4,5,-1.900443
3,27,4,5,-1.714074
3,27,7,5,-1.473839
1,28,0,0,-0.181606
3,28,1,5,-1.179757
2,28,2,3,-0.583244
3,28,1,5,-1.161203
1,28,4,4,-0.773692
1,28,5,4,-0.843411
3,28,6,5,-1.079897
2,28,7,0,-0.605270
1,28,8,4,-0.822680
3,29,0,0,-1.310038
3,29,1,5,-1.760876
1,29,2,0,-0.301019
3,29,3,5,-1.726613
3,29,3,5,-1.775796
3,29,7,5,-1.731580
1,29,6,0,-0.346871
3,29,7,5,-1.342851
1,29,8,4,-0.679379
1,30,0,1,-0.231400
1,30,1,2,-0.450805
3,30,2,2,-0.925405
1,30,3,4,-0.725139
1,30,4,4,-0.825055
1,30,5,4,-0.720931
1,30,6,1,-0.097129
1,30,7,0,0.096493
1,30,8,4,-0.672762
1,31,0,3,-0.494494
3,31,0,3,-0.817383
1,31,2,2,-0.439431
1,31,3,3,-0.453644
1,31,4,1,-0.093034
1,31,5,1,-0.072947
1,31,6,1,-0.078929
1,31,7,2,-0.405453
1,31,8,1,-0.115731
3,32,0,2,-1.465915
1,32,1,3,-0.580801
3,32,2,5,-1.489703
1,32,3,3,-0.574624
1,32,4,3,-0.553409
1,32,5,4,-0.797001
1,32,6,5,-0.788873
1,32,7,0,-0.153564
3,32,8,2,-0.901576
1,33,0,4,-0.646995
1,33,1,0,0.188085
1,33,2,4,-0.717200
1,33,3,4,-0.614560
1,33,4,4,-0.623282
1,33,5,2,-0.212968
1,33,6,2,-0.190341
1,33,7,1,0.051987
1,33,8,4,-0.669479
3,34,0,5,-1.764301
1,34,1,1,-0.330432
1,34,2,1,-0.383718
2,34,6,5,-1.542079
3,34,6,5,-1.832619
3,34,6,5,-1.831907
3,34,6,5,-1.763099
3,34,6,5,-1.751411
3,34,7,5,-1.144526
2,35,0,1,-0.262814
1,35,1,4,-0.616756
1,35,2,0,0.088734
1,35,3,2,-0.302286
1,35,4,4,-0.851037
1,35,5,4,-0.768393
3,35,6,2,-1.061482
1,35,7,1,-0.032474
3,35,8,4,-0.871761
3,36,1,2,-1.315673
3,36,3,2,-1.288572
1,36,2,1,-0.059699
3,36,4,2,-1.411088
3,36,4,2,-1.406677
1,36,5,4,-0.449720
3,36,7,2,-1.357777
3,36,7,2,-1.336753
1,36,8,4,-0.462912
1,37,0,0,-0.126509
3,37,1,2,-1.292741
3,37,2,5,-0.888025
2,37,3,5,-1.068740
1,37,4,4,-0.785005
1,37,5,1,-0.318635
1,37,6,4,-0.685110
1,37,7,0,-0.029607
1,37,8,3,-0.545246
1,38,0,1,-0.124282
3,38,1,4,-1.064360
3,38,2,1,-0.955661
3,38,3,1,-1.375457
1,38,4,1,-0.259644
1,38,5,5,-0.830082
3,38,6,2,-0.981904
3,38,5,5,-1.341138
1,38,8,2,-0.518815
1,39,0,3,-0.513578
1,39,1,4,-0.611197
1,39,2,0,-0.113865
3,39,3,2,-1.004869
1,39,4,1,-0.216446
1,39,5,0,-0.156475
1,39,6,1,-0.350035
1,39,7,1,-0.269824
1,39,8,0,-0.128226
3,40,0,5,-1.442134
2,40,1,2,-1.525237
1,40,2,3,-0.508701
1,40,3,3,-0.471499
2,40,6,3,-0.605354
2,40,7,5,-1.390637
1,40,6,3,-0.457289
1,40,7,5,-1.034244
3,40,7,5,-1.641640
